app/psauron.py -i data/MANE_smallset_rna.fna -v
psauron score: 31.1
NOTE: alternate reading frames may not contain valid ORFs
description,psauron_is_protein,in_frame_score,forward_frame2_score,forward_frame3_score,reverse_frame1_score,reverse_frame2_score,reverse_frame3_score,mean_out_of_frame_score
NM_000014.6,False,0.04201,0.97721,0.03273,0.02307,0.14296,0.05612,0.24642
NM_000015.3,False,0.07188,0.97369,0.00824,0.11713,0.04465,0.26662,0.28207
NM_000016.6,False,0.0248,0.89905,0.08857,0.01977,0.01908,0.10388,0.22607
NM_000017.4,True,0.89982,0.02198,0.02254,0.0743,0.02411,0.05427,0.03944
NM_000018.4,False,0.00998,0.01711,0.99025,0.02562,0.08362,0.03342,0.23
NM_000019.4,False,0.00555,0.99295,0.01818,0.00376,0.0799,0.00474,0.21991
NM_000020.3,False,0.11925,0.08734,0.56302,0.11436,0.11531,0.11665,0.19934
NM_000021.4,False,0.12744,0.0683,0.65107,0.19585,0.17489,0.18073,0.25417
NM_000022.4,False,0.00729,0.01749,0.99718,0.02492,0.01275,0.02452,0.21537
NM_000023.4,True,0.94823,0.00679,0.04578,0.02968,0.06067,0.02165,0.03291
NM_000024.6,False,0.02106,0.05534,0.86198,0.02021,0.27705,0.04651,0.25222
NM_000025.3,False,0.10411,0.4866,0.05948,0.05908,0.14151,0.13589,0.17651
NM_000026.4,False,0.15702,0.24274,0.75582,0.11475,0.10539,0.0976,0.26326
NM_000027.4,False,0.37733,0.01529,0.72556,0.01389,0.05783,0.07003,0.17652
NM_000030.3,True,0.5494,0.04957,0.08086,0.14108,0.10291,0.06983,0.08885
NM_000031.6,False,0.14543,0.89352,0.24721,0.09865,0.11374,0.0817,0.28696
NM_000032.5,True,0.98807,0.01058,0.02308,0.01582,0.04683,0.1869,0.05664
NM_000033.4,True,0.9366,0.03132,0.08275,0.04378,0.04368,0.05782,0.05187
NM_000035.4,False,0.20182,0.65218,0.07079,0.04606,0.13346,0.04769,0.19004
NM_000036.3,True,0.99591,0.01223,0.05238,0.03553,0.09837,0.05778,0.05126
NM_000037.4,True,0.93893,0.02613,0.07745,0.03668,0.04898,0.12074,0.062
NM_000038.6,False,0.11472,0.04078,0.98456,0.0526,0.02712,0.11032,0.24308
NM_000039.3,False,0.00019,0.03905,0.99998,0.02026,0.00038,0.02141,0.21622
NM_000040.3,False,0.00614,0.00444,0.99813,0.2547,0.00876,0.05618,0.26444
NM_000041.4,True,0.99966,0.00151,0.07048,0.00133,0.07502,0.00542,0.03075
NM_000042.3,True,0.99388,0.15581,0.01259,0.00867,0.0066,0.57141,0.15102
NM_000043.6,False,0.09363,0.75459,0.11446,0.0811,0.12136,0.17598,0.2495
NM_000044.6,False,0.24973,0.50331,0.11806,0.1593,0.13561,0.19331,0.22192
NM_000045.4,True,0.98276,0.03914,0.01224,0.02695,0.01605,0.0681,0.03249
NM_000046.5,False,0.05865,0.11367,0.49567,0.14315,0.23315,0.16644,0.23042
NM_000047.3,True,0.83947,0.06121,0.08212,0.03187,0.04876,0.1875,0.08229
NM_000048.4,True,0.96373,0.02822,0.05192,0.03088,0.06217,0.01567,0.03777
NM_000049.4,False,0.19488,0.45143,0.33246,0.1486,0.06917,0.09155,0.21864
NM_000051.4,True,0.91189,0.07867,0.09324,0.06936,0.08304,0.13881,0.09262
NM_000052.7,False,0.06805,0.06268,0.858,0.12072,0.18415,0.07363,0.25984
NM_000053.4,False,0.04144,0.03699,0.92723,0.14672,0.04223,0.10013,0.25066
NM_000054.7,False,0.04319,0.5813,0.02584,0.09979,0.06014,0.03093,0.1596
NM_000055.4,False,0.06718,0.96978,0.12605,0.02139,0.04957,0.14514,0.26239
NM_000057.4,True,0.98989,0.07426,0.04735,0.14085,0.02976,0.03331,0.06511
NM_000059.4,False,0.03253,0.98112,0.02936,0.02858,0.01828,0.14407,0.24028
NM_000061.3,False,0.14397,0.99336,0.05542,0.08406,0.0457,0.04587,0.24488
NM_000062.3,True,0.94549,0.01502,0.15721,0.02962,0.04297,0.02395,0.05375
NM_000063.6,True,0.9403,0.03108,0.03666,0.26016,0.08049,0.02575,0.08683
NM_000064.4,False,0.02632,0.99402,0.01163,0.02254,0.03467,0.02686,0.21795
NM_000065.5,True,0.90061,0.19639,0.09843,0.03863,0.3282,0.07022,0.14638
NM_000066.4,False,0.01945,0.98947,0.13091,0.04553,0.01229,0.32083,0.29981
NM_000067.3,True,0.86377,0.13714,0.03073,0.05661,0.01496,0.05188,0.05826
NM_000069.3,True,0.99044,0.02774,0.02069,0.01762,0.04079,0.0333,0.02803
NM_000070.3,False,0.02976,0.05073,0.98457,0.0565,0.16893,0.05486,0.26312
NM_000071.3,True,0.96467,0.02149,0.03426,0.03751,0.04923,0.03863,0.03622
NM_000073.3,False,0.09299,0.22168,0.31819,0.2732,0.11326,0.43897,0.27306
NM_000074.3,False,0.09403,0.73059,0.45599,0.21527,0.11619,0.06467,0.31654
NM_000075.4,False,0.06066,0.2465,0.95002,0.11312,0.03846,0.37895,0.34541
NM_000077.5,False,0.36953,0.03784,0.01496,0.19758,0.03545,0.04495,0.06616
NM_000078.3,True,0.97193,0.00912,0.03519,0.01164,0.01512,0.08385,0.03098
NM_000079.4,True,0.98036,0.03839,0.02621,0.01841,0.05729,0.02522,0.0331
NM_000080.4,False,0.03294,0.07996,0.89663,0.0964,0.06078,0.07207,0.24116
NM_000081.4,False,0.08151,0.06615,0.89675,0.07828,0.07878,0.12752,0.24949
NM_000082.4,False,0.10737,0.07741,0.24265,0.15539,0.18262,0.40534,0.21268
NM_000083.3,True,0.97785,0.01986,0.04768,0.04375,0.09437,0.06569,0.05427
NM_000085.5,False,0.08334,0.9503,0.01,0.05382,0.02157,0.03204,0.21355
NM_000088.4,False,0.00471,0.98437,0.31332,0.0526,0.3362,0.01424,0.34015
NM_000089.4,False,0.18309,0.00256,0.98811,0.01866,0.24326,0.00642,0.2518
NM_000090.4,True,0.99378,0.20316,0.00168,0.01152,0.32947,0.0045,0.11007
NM_000091.5,False,0.01607,0.91439,0.26267,0.03074,0.30582,0.05371,0.31347
NM_000092.5,True,0.75357,0.27417,0.03704,0.04754,0.28687,0.04661,0.13845
NM_000093.5,False,0.03403,0.98238,0.26805,0.26211,0.08086,0.0679,0.33226
NM_000094.4,True,0.97427,0.22585,0.02124,0.05904,0.21092,0.03184,0.10978
NM_000095.3,True,0.97468,0.00493,0.02101,0.01395,0.0564,0.02923,0.0251
NM_000096.4,False,0.06525,0.98191,0.10872,0.04027,0.02425,0.05089,0.24121
NM_000097.7,False,0.09063,0.037,0.62617,0.05783,0.11103,0.10606,0.18762
NM_000098.3,True,0.97833,0.07932,0.08248,0.0553,0.01828,0.17703,0.08248
NM_000099.4,True,0.91139,0.00111,0.03464,0.00864,0.00574,0.00742,0.01151
NM_000100.4,True,0.96766,0.01995,0.16674,0.31744,0.00439,0.00788,0.10328
NM_000101.4,False,0.00366,0.99969,0.00212,0.00206,0.0279,0.00589,0.20753
NM_000102.4,False,0.04155,0.99472,0.00407,0.03138,0.01172,0.01974,0.21233
NM_000103.4,False,0.06939,0.07355,0.60537,0.14655,0.22885,0.10588,0.23204
NM_000104.4,False,0.14388,0.36487,0.12103,0.14999,0.05181,0.07289,0.15212
NM_000106.6,False,0.05113,0.985,0.00703,0.02186,0.01392,0.0251,0.21058
NM_000107.3,False,0.07201,0.9531,0.02532,0.0517,0.084,0.29785,0.28239
NM_000108.5,False,0.26746,0.01968,0.6711,0.0254,0.06517,0.23061,0.20239
NM_000110.4,False,0.02335,0.96502,0.0678,0.03347,0.12367,0.02766,0.24352
NM_000111.3,True,0.99313,0.01961,0.01363,0.26593,0.05027,0.04602,0.07909
NM_000112.4,False,0.13083,0.58061,0.11021,0.11167,0.13342,0.15366,0.21791
NM_000113.3,True,0.95553,0.03936,0.07619,0.02409,0.08706,0.06336,0.05801
NM_000116.5,False,0.05479,0.04863,0.71432,0.04842,0.042,0.14691,0.20006
NM_000117.3,False,0.1493,0.98795,0.02102,0.16725,0.02567,0.30957,0.30229
NM_000121.4,False,0.02531,0.12599,0.83054,0.14126,0.1457,0.06302,0.2613
NM_000122.2,True,0.99142,0.02199,0.04116,0.14114,0.04234,0.01149,0.05162
NM_000123.4,False,0.09305,0.9958,0.04656,0.04186,0.06332,0.0298,0.23547
NM_000124.4,True,0.78836,0.05853,0.07984,0.13871,0.09522,0.10353,0.09517
NM_000125.4,True,0.69716,0.06268,0.14228,0.15661,0.15294,0.13422,0.12974
NM_000126.4,True,0.92263,0.14882,0.04571,0.04606,0.15003,0.01766,0.08166
NM_000127.3,False,0.3752,0.17567,0.16374,0.21777,0.1597,0.22531,0.18844
NM_000128.4,True,0.80431,0.28893,0.03808,0.1716,0.0328,0.22221,0.15073
NM_000129.4,False,0.07663,0.92799,0.09052,0.07473,0.04728,0.06781,0.24167
NM_000130.5,False,0.11361,0.25462,0.96718,0.07619,0.08934,0.14157,0.30578
